"id","nome_pais","preco_medio","descricao_mais_longa"
27,"England",51.68,"Wood sorrel and crunchy green apple are met with boiled lemon sweets on the nose. Lively, frothy fizz fills the mouth with exuberant, refreshing flavors and leaves behind that notion of sorrel and lemon candy."
28,"Slovenia",24.81,"Zesty and full bodied, this has delightful aromas of freshly mowed lawn, lemon pith and grapefruit zest. It's clean, crisp and somewhat astringent on the palate, making this a great wine to pair with raw clams and oysters."
29,"Egypt",NULL,"Ripe pear, apple and tropical fruit in the nose leads into easy-drinking yellow fruit flavors on the palate. Creamy with a clean finish—a great everyday sip that will pair well with poultry, salads, cheeses."
30,"Greece",22.36,"Zippy, fresh aromas of citrus and white fruit lead the nose. Ripe fruit balanced by good acidity and a lingering, luscious finish make this an exemplary Greek pour. Pair with poultry, grilled seafood or enjoy as an apéritif."
31,"India",13.33,"This wine features a fresh nose of grapefruit and lemon peel. It is bright on the palate, offering flavors of grapefruit, pear and green apple. It remains crisp and clean across the entire tongue right into the orange zest finish."
32,"Georgia",19.32,"While aromatically subdued, this is a refreshing, easy-drinking white blend, with pleasant lemon and apple flavors. A hint of orange peel and a brisk, lime-accented acidity highlight the midpalate. Drink now."
33,"Morocco",19.5,"This wine offers aromas of rose petal and geranium with a hint of lemon. It is full on the palate, with flavors of toasted pineapple, white peach, lilac and Turkish delight. The smooth finish is marked by savory touches, with a nice balance of fruit and floral flavors."
34,"Moldova",16.75,"This zesty Moldovan Feteasca Regala has aromas of pineapple, lemon zest and pear. In the mouth there are flavors of lemon juice, lime pith and a hint of cantaloupe."
35,"Chile",20.79,"Zippy, with natural rubbery aromas. This is quite tart and has a personality defined by lemon. There's lemon torte up front, while at the end it's purely tangy and sharp. Not an astringent, scouring wine, but high acidity comes into play."
36,"France",41.14,"Zind-Humbrecht owns some great Grand Cru vineyards, perhaps none more so than the Clos Saint Urbain. This luscious, rich, sweet wine shows both power and intensity without losing any sense of structure. It's young, needing many years to show off its full potential. Drink from 2018."
37,"Slovakia",16.0,"Delicious scents of honey, apples and petrol lead to a luscious, full-bodied palate full of smoke and honey with a gripping lime skin astringency on the finish. Rich in honey tones, yet quite dry, the palate is balanced with a bracing acidity."
38,"Israel",31.77,"Yogev, meaning “tiller of the soil,” is a friendly and easy-pleasing wine, with direct notes of cherry skins, fresh cassis and black currant leaf. Medium weight, with moderate acidity, fine tannins and a clean, fruit-driven finish. Drink now."
39,"Mexico",26.79,"Yeasty aromas are suggestive of vanilla wafer and corn cakes, with apple and melon scents lurking. A plump, low-acid palate delivers pithy, lightly bitter citrus and stone-fruit flavors, while notes of melon and honey fail to make much noise on the finish."
40,"South Africa",24.67,"Zelma Long's tradition of excellence continues with the Series M: Its deep chocolate, cinnamon and berry aromas and full, complex waves of delicious fruit and spice are exactly what a Bordeaux blend should be. Restrained but memorable, the wine has firm structure and will age beautifully."
41,"Peru",18.06,"Stone-fruit and yellow apple aromas come with a hint of ham. Flat and creamy in feel, this tastes almost entirely of leesy vanilla and pithy bitterness. In the folds are bland banana and melon notes."
42,"Lebanon",30.69,"Violet red to the eye, this wine is a blend of 55% Syrah, 35% Cabernet Sauvignon and 10% Merlot. A nose of black cherry and violet prepares the palate for flavors of cassis, cherry conserves, orange zest, licorice and tobacco. Fruit and spice flavors keep each other in check amid velvety tannins. The smooth cherry finish is highlighted by touches of orange zest."
43,"Bosnia and Herzegovina",12.5,"Toasted oak and cedar notes meld into lush, ripe black plums on the nose and palate of this fruit-forward, richly concentrated wine from Bosnia and Herzegovina. It's a straightforward, accessible wine, but well balanced with smooth tannins and a bright acidity"
